drugbank_id	name	atc_codes
DB00651	Dyphylline	R03DA20|R03DB01|R03DA51|R03DA01
DB00652	Pentazocine	N02AD01
DB00653	Magnesium sulfate	A06AD04|V04CC02|D11AX05|B05XA05|A12CC02
DB00654	Latanoprost	S01EE01|S01EE51
DB00655	Estrone	G03CC04|G03CA07
DB00656	Trazodone	N06AX05
DB00657	Mecamylamine	C02BB01
DB00658	Sevelamer	V03AE02
DB00659	Acamprosate	N07BB03
DB00661	Verapamil	C09BB10|C08DA51|C08DA01
DB00662	Trimethobenzamide	R06AA10
DB00663	Flumethasone	D07AB03|D07BB01|S02CA02|D07CB05|D07XB01
DB00664	Sulfametopyrazine	G01AE10|J01ED02
DB00665	Nilutamide	L02BB02
DB00666	Nafarelin	H01CA02
DB00668	Epinephrine	A01AD01|R03AK01|B02BC09|C01CA24|S01EA01|R01AA14|R03AA01|S01EA51
DB00669	Sumatriptan	N02CC01|G01AE10
DB00670	Pirenzepine	A02BX03
DB00671	Cefixime	J01DD08
DB00672	Chlorpropamide	A10BB02
DB00673	Aprepitant	A04AD12
DB00674	Galantamine	N06DA04
DB00675	Tamoxifen	L02BA01
DB00676	Benzyl benzoate	P03AX01
DB00678	Losartan	C09CA01|C09DA01|C09DB06
DB00679	Thioridazine	N05AC02
DB00680	Moricizine	C01BG01
DB00681	Amphotericin B	G01AA03|A07AA07|A01AB04|J02AA01
DB00682	Warfarin	B01AA03
DB00683	Midazolam	N05CD08
DB00684	Tobramycin	S01AA12|J01GB01
DB00685	Trovafloxacin	J01MA13
DB00686	Pentosan polysulfate	C05BA04|G04BX15
DB00687	Fludrocortisone	S02CA07|S01CA06|H02AA02|S03CA05
DB00690	Flurazepam	N05CD01
DB00691	Moexipril	C09AA13|C09BA13
DB00692	Phentolamine	V03AB36|C04AB01
DB00693	Fluorescein	S01JA01|S01JA51
DB00694	Daunorubicin	L01DB02|L01XY01
DB00695	Furosemide	C03EB01|C03CA01|G01AE10|C03CB01
DB00696	Ergotamine	N02CA02|N02CA52|N02CA72
DB00697	Tizanidine	M03BX02
DB00698	Nitrofurantoin	J01XE01|J01XE51
DB00699	Nicergoline	C04AE02
DB00700	Eplerenone	C03DA04
DB00701	Amprenavir	J05AE05
DB00703	Methazolamide	G01AE10|S01EC05
DB00704	Naltrexone	N02AA56|N07BB04|A08AA62
DB00705	Delavirdine	J05AG02
DB00706	Tamsulosin	G04CA52|G04CA02|G01AE10|G04CA54|G04CA53
DB00707	Porfimer sodium	L01XD01
DB00708	Sufentanil	N01AH03
DB00709	Lamivudine	J05AR27|J05AR02|J05AR25|J05AR11|J05AR07|J05AR01|J05AR13|J05AR12|J05AR24|J05AR04|J05AR16|J05AR05|J05AF05
DB00710	Ibandronate	M05BA06|M05BB09
DB00711	Diethylcarbamazine	P02CB02
DB00712	Flurbiprofen	M02AA19|M01AE09|R02AX01|S01BC04
DB00713	Oxacillin	J01CR50|J01CF04
DB00714	Apomorphine	G04BE07|N04BC07
DB00715	Paroxetine	N06AB05
DB00716	Nedocromil	R03BC03|R01AC07|S01GX04
DB00717	Norethisterone	G03AA05|G03DC02|G03AB04|G03AC01|G03FA01|G03FB05
DB00718	Adefovir dipivoxil	J05AF08
DB00719	Azatadine	R06AX09
DB00720	Clodronic acid	M05BA02
DB00721	Procaine	N01BA52|C05AD05|S01HA05|N01BA02
DB00722	Lisinopril	C09BA03|C10BX07|C09AA03|C09BB03
DB00723	Methoxamine	C01CA10
DB00724	Imiquimod	D06BB10
DB00725	Homatropine methylbromide	A03CB04|A03BB06
DB00726	Trimipramine	N06AA06
DB00727	Nitroglycerin	C01DA02|C01DA52|C05AE01
DB00728	Rocuronium	M03AC09
DB00730	Thiabendazole	D01AC06|P02CA02
DB00731	Nateglinide	A10BX03
DB00733	Pralidoxime	V03AB04
DB00734	Risperidone	N05AX08
DB00735	Naftifine	D01AE22
DB00736	Esomeprazole	A02BD06|A02BC05|M01AE52
DB00737	Meclizine	R06AE55|R06AE05
DB00738	Pentamidine	P01CX01
DB00739	Hetacillin	J01CA18|J01CR50
DB00740	Riluzole	N07XX02
DB00741	Hydrocortisone	S01CB03|A01AC03|S01BA02|S01CA03|D07AA02|S01BB01|D07XA01|D07BA04|S02CA03|A07EA02|S02BA01|R01AD60|H02AB09|D07CA01|S03CA04|C05AA01
DB00742	Mannitol	B05CX04|A06AD16|R05CB16|B05BC01|V04CX04
DB00743	Gadobenic acid	V08CA08
DB00745	Modafinil	N06BA07
DB00746	Deferoxamine	V03AC01
DB00747	Scopolamine	N05CM05|S01FA02|A04AD01|A04AD51
DB00748	Carbinoxamine	R06AA08
DB00749	Etodolac	M01AB08
DB00750	Prilocaine	N01BB54|N01BB04
DB00751	Epinastine	S01GX10|R06AX24
DB00752	Tranylcypromine	N06AF04
DB00753	Isoflurane	N01AB06
DB00754	Ethotoin	N03AB01
DB00755	Tretinoin	D10AD51|L01XX14|D10AD01
DB00756	Hexachlorophene	D08AE01
DB00757	Dolasetron	A04AA04
DB00758	Clopidogrel	B01AC04
DB00759	Tetracycline	S02AA08|A02BD02|A01AB13|J01AA07|S01AA09|J01AA20|J01RA08|S03AA02|D06AA04|A02BD08
DB00760	Meropenem	J01DH02|J01DH52
DB00761	Potassium chloride	A12BA51|B05XA01|A12BA01
DB00762	Irinotecan	L01XX19
DB00763	Methimazole	H03BB52|H03BB02
DB00764	Mometasone	R03AL12|R03AK14
DB00765	Metyrosine	C02KB01
DB00768	Olopatadine	S01GX09|R01AC08
DB00770	Alprostadil	C01EA01|G04BE01
DB00771	Clidinium	A03CA02
DB00772	Malathion	P03AX03
DB00773	Etoposide	L01CB01
DB00774	Hydroflumethiazide	C03AA02|G01AE10|C03AH02|C03AB02
DB00775	Tirofiban	B01AC17
DB00776	Oxcarbazepine	N03AF02
DB00777	Propiomazine	N05CM06
DB00778	Roxithromycin	J01FA06
DB00779	Nalidixic acid	J01MB02
DB00780	Phenelzine	N06AF03
DB00782	Propantheline	A03AB05|A03CA34
DB00783	Estradiol	G03FA16|G03FA06|G03FA09|G03FA14|G03CA53|G03FA12|G03FB12|G03FB03|G03FA15|G03FB02|G03FB10|G03FA10|G03EA01|G03FA04|G03FB11|G03FA01|G03FB09|G03FB08|G03EA03|G03AA14|G03AB08|G03FB01|G03FA03|G03FA08|G03FB06|G03EA02|G03FA11|G03AA17|G03FB07|G03FA17|G03FA07|G03FA02|G03HB01|G03FB04|G03FA13|G02BB01|G03CA03|G03FA05|G03FB05
DB00784	Mefenamic acid	M01AG01
DB00787	Acyclovir	J05AB01|D06BB03|S01AD03|D06BB53
DB00788	Naproxen	G02CC02|M02AA12|M01AE56|M01AE52|M01AE02
DB00789	Gadopentetic acid	V08CA01
DB00790	Perindopril	C09BX01|C09BA04|C10BX11|C10BX13|C09AA04|C09BX02|C10BX12|C09BB04|C10BX15|C10BX14|C09BX04
DB00791	Uracil mustard	L01AD08
DB00792	Tripelennamine	R06AC04|D04AA04
DB00793	Haloprogin	D01AE11
DB00794	Primidone	N05CB01|N03AA03
DB00795	Sulfasalazine	G01AE10|A07EC01
DB00797	Tolazoline	M02AX02|C04AB02
DB00798	Gentamicin	S01AA11|S02AA14|D06AX07|S03AA06|J01GB03
DB00799	Tazarotene	D05AX05
DB00800	Fenoldopam	C01CA19
DB00801	Halazepam	N05BA13
DB00802	Alfentanil	N01AH02
DB00803	Colistin	J01XB01|A07AA10
DB00804	Dicyclomine	A03AA07
DB00805	Minaprine	N06AX07
DB00806	Pentoxifylline	C04AD03|R03DA20
DB00807	Proparacaine	S01HA04
DB00808	Indapamide	C03BA11|C09BX01|G01AE10|C10BX13
DB00809	Tropicamide	S01FA06|S01FA56
DB00810	Biperiden	N04AA02
DB00811	Ribavirin	J05AP01
DB00812	Phenylbutazone	M01BA01|M01AA01|M02AA01
DB00813	Fentanyl	N01AH01|N02AB03|N01AH51
DB00814	Meloxicam	M01AC56|M01AC06
DB00816	Orciprenaline	R03AB03|R03CB03|R03CB53
DB00817	Rosoxacin	J01MB01
DB00818	Propofol	N01AX10
DB00819	Acetazolamide	G01AE10|S01EC01
DB00820	Tadalafil	G04BE08|C02KX52|G04CA54
DB00822	Disulfiram	P03AA04|P03AA54|N07BB01
DB00826	Natamycin	G01AA02|D01AA02|A01AB10|S01AA10|A07AA03
DB00827	Cinoxacin	J01MB06
DB00828	Fosfomycin	J01XX01
DB00829	Diazepam	N05BA01
DB00831	Trifluoperazine	N05AB06
DB00832	Phensuximide	N03AD02
DB00833	Cefaclor	J01DC04
DB00834	Mifepristone	G03XB01|G03XB51
DB00835	Brompheniramine	R06AB51|R06AB01
DB00836	Loperamide	A07DA53|A07DA03
DB00837	Progabide	N03AG05
DB00838	Clocortolone	D07AB21
DB00839	Tolazamide	A10BB05
DB00841	Dobutamine	C01CA07
DB00842	Oxazepam	N05BA04
DB00843	Donepezil	N06DA52|N06DA53|N06DA02
DB00844	Nalbuphine	N02AF02
DB00845	Clofazimine	J04BA01
DB00846	Flurandrenolide	D07CC03|D07AC07
DB00847	Cysteamine	A16AA04|S01XA21
DB00848	Levamisole	P02CE01
DB00849	Methylphenobarbital	N03AA01|N05CB01
DB00850	Perphenazine	N05AB03
DB00851	Dacarbazine	L01AX04
DB00852	Pseudoephedrine	R01BA52|R01BA02
DB00853	Temozolomide	L01AX03
DB00855	Aminolevulinic acid	L01XD04
DB00856	Chlorphenesin	D01AE07
DB00857	Terbinafine	D01AE15|D01BA02
DB00859	Penicillamine	M01CC01
DB00860	Prednisolone	D07AA03|S01CA02|D07XA02|A01AC54|R01AD02|S01BB02|R01AD52|S01CB02|V03AB05|S03BA02|D07BA01|D07CA03|S01BA04|S02BA03|A07EA01|H02AB06|S02CA01|C05AA04|S03CA02
DB00861	Diflunisal	N02BA11
DB00862	Vardenafil	G04BE09
DB00863	Ranitidine	A02BA07|A02BA02
DB00864	Tacrolimus	D11AH01|L04AD02
DB00866	Alprenolol	C07AA01
DB00867	Ritodrine	G02CA01
DB00868	Benzonatate	R05DB01
DB00869	Dorzolamide	G01AE10|S01EC03
DB00870	Suprofen	M01AE07
DB00871	Terbutaline	R03CC53|R03CC03|R03AC03
DB00872	Conivaptan	C03XA02
DB00874	Guaifenesin	R05CA03
DB00875	Flupentixol	N05AF01
DB00876	Eprosartan	C09DA02|C09CA02
DB00877	Sirolimus	S01XA23|L04AA10
DB00878	Chlorhexidine	R02AA05|S03AA04|D08AC52|D08AC02|S01AX09|D09AA12|B05CA02|A01AB03|S02AA09
DB00879	Emtricitabine	J05AR19|J05AR08|J05AR17|J05AF09|J05AR09|J05AR20|J05AR06|J05AR03|J05AR22|J05AR18
DB00880	Chlorothiazide	C03AB04|G01AE10|C03AA04|C03AH01
DB00881	Quinapril	C09AA06|C09BA06
DB00882	Clomifene	G03GB02
DB00883	Isosorbide dinitrate	C01DA08|C01DA58|C05AE02
DB00884	Risedronic acid	M05BB07|M05BB02|M05BB04|M05BA07
DB00887	Bumetanide	G01AE10|C03CB02|C03EB02|C03CA02
DB00888	Mechlorethamine	L01AA05
DB00889	Granisetron	A04AA02
DB00890	Dienestrol	G03CB01|G03CC02
DB00891	Sulfapyridine	G01AE10|J01EB04
DB00892	Oxybuprocaine	S01HA02|D04AB03
DB00895	Benzylpenicilloyl polylysine	J01CR50
DB00896	Rimexolone	H02AB12|S01BA13
DB00897	Triazolam	N05CD05
DB00898	Ethanol	V03AB16|V03AZ01|D08AX08
DB00899	Remifentanil	N01AH06
DB00900	Didanosine	J05AF02
DB00901	Bitolterol	R03AC17
DB00902	Methdilazine	R06AD04
DB00903	Etacrynic acid	C03CC01
DB00904	Ondansetron	A04AA01
DB00905	Bimatoprost	S01EE03
DB00906	Tiagabine	N03AG06
DB00907	Cocaine	S01HA01|S02DA02|N01BC01|R02AD03
DB00908	Quinidine	C01BA01|C01BA51|C01BA71
DB00909	Zonisamide	N03AX15|G01AE10
DB00910	Paricalcitol	H05BX02
DB00911	Tinidazole	J01RA11|J01RA13|A02BD09|J01XD02|G01AF20|P01AB02
DB00912	Repaglinide	A10BD14|A10BX02
DB00913	Anileridine	N01AH05
DB00914	Phenformin	A10BA01|A10BD01
DB00915	Amantadine	N04BB01
DB00916	Metronidazole	A02BD11|D06BX01|A02BD03|J01XD01|J01RA04|A02BD01|A02BD15|J01RA03|A01AB17|G01AF20|J01RA10|A02BD02|A02BD13|G01AF01|P01AB51|A02BD08|P01AB01
DB00917	Dinoprostone	G02AD02
DB00918	Almotriptan	N02CC05
DB00919	Spectinomycin	J01XX04
DB00920	Ketotifen	S01GX08|R06AX17
DB00921	Buprenorphine	N07BC01|N07BC51|N02AE01
DB00922	Levosimendan	C01CX08
DB00923	Ceforanide	J01DC11
DB00924	Cyclobenzaprine	M03BX08
DB00925	Phenoxybenzamine	C04AX02
DB00926	Etretinate	D05BB01
DB00927	Famotidine	A02BA03|A02BA53
DB00928	Azacitidine	L01BC07
DB00929	Misoprostol	G02AD06|A02BB01|M01AE56
DB00930	Colesevelam	C10AC04
DB00931	Metacycline	J01AA05|J01AA20
DB00932	Tipranavir	J05AE09
DB00933	Mesoridazine	N05AC03
DB00934	Maprotiline	N06AA21
DB00935	Oxymetazoline	S01GA04|R01AB07|R01AA05
DB00936	Salicylic acid	D01AE12|N02BA04|N02BA12|S01BC08
DB00937	Diethylpropion	A08AA03
DB00938	Salmeterol	R03AK06|R03AK12|R03AC12
DB00939	Meclofenamic acid	M01AG04|M02AA18
DB00940	Methantheline	A03AB07
DB00941	Hexafluronium	M03AC05
DB00943	Zalcitabine	J05AF03
DB00944	Demecarium	S01EB04
DB00945	Acetylsalicylic acid	B01AC06|C07FX04|C10BX04|M01BA03|N02BA71|C10BX02|B01AC56|N02AJ07|N02AJ02|N02BA01|C10BX05|N02BA51|A01AD05|C10BX01|C07FX03|N02AJ18|C10BX12|C10BX08|C10BX06|C07FX02
DB00946	Phenprocoumon	B01AA04
DB00947	Fulvestrant	L02BA03
DB00948	Mezlocillin	J01CR50|J01CA10
DB00949	Felbamate	N03AX10
DB00950	Fexofenadine	R06AX26
DB00951	Isoniazid	J04AM04|J04AM01|J04AM03|J04AM02|J04AC01|J04AM06|J04AM05|J04AM07|J04AM08|J04AC51
DB00952	Naratriptan	N02CC02
DB00953	Rizatriptan	N02CC04
DB00954	Dirithromycin	J01FA13
DB00955	Netilmicin	S01AA23|J01GB07
DB00956	Hydrocodone	R05DA03
DB00957	Norgestimate	G03AA11|G03FA13|G03AB09
DB00958	Carboplatin	L01XA02
DB00959	Methylprednisolone	D10AA02|H02AB04|H02BX01|D07CA02|S01CA08|D07AA01
DB00960	Pindolol	C07CA03|C07AA03
DB00961	Mepivacaine	N01BB53|N01BB03
DB00962	Zaleplon	N05CF03
DB00963	Bromfenac	S01BC11
DB00964	Apraclonidine	S01EA03
DB00966	Telmisartan	C09DB04|C09CA07|C09DA07
DB00967	Desloratadine	R06AX27
DB00969	Alosetron	A03AE01
DB00970	Dactinomycin	L01DA01
DB00971	Selenium Sulfide	D01AE13
DB00972	Azelastine	R06AX19|S01GX07|R01AC03
DB00973	Ezetimibe	C10BA02|C10BA05|C10AX09|C10BA06
DB00975	Dipyridamole	B01AC07
DB00976	Telithromycin	J01FA15
DB00977	Ethinylestradiol	G03AA15|G03AA11|L02AA03|G03AA12|G03AA16|G03AB02|G03CA01|G03AA03|G03AA10|G03AB04|G03AB01|G03AB07|G03AA13|G03AA06|G03AA08|G03AA02|G03AA04|G03AA09|G03AB09|G03AA07|G03AB03|G03AA05|G03AB05|G03AB06|G03AA01
DB00978	Lomefloxacin	S01AE04|J01MA07
DB00979	Cyclopentolate	S01FA54|S01FA04
DB00980	Ramelteon	N05CH02
DB00981	Physostigmine	S01EB05|V03AB19
DB00982	Isotretinoin	D10AD04|D10AD54|D10BA01
DB00983	Formoterol	R03AL09|R03AL05|R03AK09|R03AL10|R03AL11|R03AL07|R03AK08|R03AC13|R03AK07|R03AK11
DB00986	Glycopyrronium	R03AL09|R03AL04|R03BB06|D11AA01|A03AB02|R03AL11|R03AL07|A03CA05|R03AL12
DB00987	Cytarabine	L01BC01|L01XY01
DB00988	Dopamine	C01CA04
DB00989	Rivastigmine	N06DA03
DB00990	Exemestane	L02BG06
DB00991	Oxaprozin	M01AE12
DB00992	Methyl aminolevulinate	L01XD03
DB00993	Azathioprine	L04AX01
DB00994	Neomycin	A07AA51|R02AB01|J01GB05|D06AX04|S03AA01|A01AB08|A07AA01|S02AA07|B05CA09|S01AA03
DB00995	Auranofin	M01CB03
DB00996	Gabapentin	N03AX12
DB00997	Doxorubicin	L01DB01
DB00998	Frovatriptan	N02CC07
DB00999	Hydrochlorothiazide	C09BX03|C03AX01|C03AB03|C09DX03|C03EA01|C09DX06|C09XA52|G01AE10|C09DX01|C03AA03|C09XA54|C09DX07
DB01000	Cyclacillin	J01CR50
DB01001	Salbutamol	R03AK04|R03AC02|R03CC02|R03AK13|R03AL02
DB01002	Levobupivacaine	N01BB10
DB01003	Cromoglicic acid	R03AK05|R03AK04|R03BC01|R01AC51|S01GX51|R01AC01|S01GX01|D11AH03|A07EB01
DB01004	Ganciclovir	J05AB06|S01AD09
DB01005	Hydroxyurea	L01XX05
DB01006	Letrozole	L02BG04
DB01007	Tioconazole	G01AF20|D01AC07|G01AF08
DB01008	Busulfan	L01AB01
DB01009	Ketoprofen	M01AE03|M02AA10|M01AE53
DB01010	Edrophonium	V04CX07
DB01011	Metyrapone	V04CD01
DB01012	Cinacalcet	H05BX01
DB01014	Balsalazide	A07EC04
DB01015	Sulfamethoxazole	J04AM08|J01EE01|G01AE10|J01EC01
DB01016	Glyburide	A10BB01
DB01017	Minocycline	J01AA08|J01AA20|A01AB23
DB01018	Guanfacine	C02AC02
DB01019	Bethanechol	N07AB02
DB01020	Isosorbide mononitrate	C01DA14
DB01021	Trichlormethiazide	G01AE10|C03AA06|C03EA02|C03AB06
DB01022	Phylloquinone	B02BA01
DB01023	Felodipine	C07FB02|C08CA02|C09BB05
DB01024	Mycophenolic acid	L04AA06
DB01025	Amlexanox	A01AD07|R03DX01
DB01026	Ketoconazole	G01AF11|G01AF20|J02AB02|D01AC08
DB01028	Methoxyflurane	N02BG09
DB01029	Irbesartan	C09CA04|C09DB05|C09DA04|C09DX07
DB01030	Topotecan	L01XX17
DB01032	Probenecid	M04AB01|G01AE10
DB01033	Mercaptopurine	L01BB02|R03DA20
DB01035	Procainamide	C01BA02
DB01036	Tolterodine	G04BD07
DB01037	Selegiline	N04BD01
DB01039	Fenofibrate	C10BA03|C10AB05|C10BA09|C10BA04
DB01041	Thalidomide	L04AX02
DB01042	Melphalan	L01AA03
DB01043	Memantine	N06DA52|N06DX01|N06DA53
DB01044	Gatifloxacin	S01AE06|J01MA16
DB01045	Rifampicin	J04AM02|J04AB02|J04AM06|J04AM05|J04AM07
DB01046	Lubiprostone	A06AX03
DB01047	Fluocinonide	C05AA11|D07AC08|D07CC05
DB01048	Abacavir	J05AR13|J05AR02|J05AR04|J05AF06
DB01050	Ibuprofen	G02CC01|C01EB16|M01AE01|M02AA13|R02AX02|N02AJ08|N02AJ19|M01AE51
DB01053	Benzylpenicillin	J01CR50|J01CE01|S01AA14|J01CE08
DB01054	Nitrendipine	C08CA08|C09BB06
DB01056	Tocainide	C01BB03
DB01057	Echothiophate	S01EB03
DB01058	Praziquantel	P02BA01
DB01059	Norfloxacin	J01RA13|S01AE02|J01MA06
DB01060	Amoxicillin	A02BD12|A02BD14|J01CR50|A02BD04|A02BD07|A02BD13|A02BD10|A02BD05|A02BD03|A02BD01|A02BD15|A02BD06|J01CA04|A02BD11
DB01061	Azlocillin	J01CR50|J01CA09
DB01062	Oxybutynin	G04BD04
DB01063	Acetophenazine	N05AB07
DB01064	Isoprenaline	C01CA02|R03AK02|R03AB02|R03CB01|R03CB51
DB01065	Melatonin	N05CH01
DB01066	Cefditoren	J01DD16
DB01067	Glipizide	A10BB07
DB01068	Clonazepam	N03AE01
DB01069	Promethazine	R06AD52|D04AA10|V03AB05|R06AD02
DB01070	Dihydrotachysterol	A11CC02
DB01071	Mequitazine	R06AD07
DB01072	Atazanavir	J05AE08|J05AR15|J05AR23
DB01073	Fludarabine	L01BB05
DB01074	Perhexiline	C08EX02
DB01075	Diphenhydramine	D04AA32|R06AA02|D04AA33|R06AA52
DB01076	Atorvastatin	C10BX15|C10AA05|C10BX03|C10BA05|C10BX11|C10BX08|C10BX06|C10BX12
DB01077	Etidronic acid	M05BB01|M05BA01
DB01078	Deslanoside	C01AA07
DB01079	Tegaserod	A06AX06
DB01080	Vigabatrin	N03AG04
DB01081	Diphenoxylate	A07DA01
DB01082	Streptomycin	J04AM01|J01GA01|A07AA54|A07AA04
DB01083	Orlistat	A08AB01
DB01084	Emedastine	S01GX06
DB01085	Pilocarpine	N07AX01|S01EB01|S01EB51
DB01086	Benzocaine	C05AD03|R02AD01|D04AB04|N01BA05
DB01087	Primaquine	P01BA03
DB01088	Iloprost	B01AC11
DB01089	Deserpidine	C02LA03|C02AA05
DB01091	Butenafine	D01AE23
DB01092	Ouabain	C01AC01
DB01093	Dimethyl sulfoxide	M02AX03|G04BX13
DB01095	Fluvastatin	C10AA04
DB01096	Oxamniquine	P02BA02
DB01097	Leflunomide	L04AA13
DB01098	Rosuvastatin	C10BX10|C10BX05|C10BX07|C10AA07|A10BH52|G01AE10|C10BX13|C10BX09|C10BA09|C10BX16|C10BX17|C10BX14|C10BA06
DB01099	Flucytosine	J02AX01|D01AE21
DB01100	Pimozide	N05AG02
DB01101	Capecitabine	L01BC06
DB01102	Arbutamine	C01CA22
DB01103	Quinacrine	P01AX05
DB01104	Sertraline	N06AB06
DB01105	Sibutramine	A08AA10
DB01106	Levocabastine	R01AC02|S01GX02
DB01107	Methyprylon	N05CE02
DB01108	Trilostane	H02CA01
DB01109	Heparin	B01AB51|C05BA03|S01XA14|C05BA53|B01AB01
DB01110	Miconazole	A07AC01|J02AB01|D01AC52|G01AF20|A01AB09|D01AC02|S02AA13|G01AF04
DB01112	Cefuroxime	S01AA27|J01DC02|J01RA03
DB01113	Papaverine	G04BE02|A03AD01|G04BE52
DB01114	Chlorpheniramine	R06AB54|R06AB04
DB01115	Nifedipine	C08CA55|C08GA01|C08CA05|C07FB03
DB01116	Trimethaphan	C02BA01
DB01117	Atovaquone	P01AX06
DB01118	Amiodarone	C01BD01
DB01119	Diazoxide	G01AE10|C02DA01|V03AH01
DB01120	Gliclazide	A10BB09
DB01121	Phenacemide	N03AX07
DB01122	Ambenonium	N07AA30
DB01124	Tolbutamide	V04CA01|A10BB03
DB01126	Dutasteride	G04CB02|G04CA52
DB01127	Econazole	G01AF05|D01AC03|G01AF20|G01AF55
DB01128	Bicalutamide	L02BB03|L02AE51
DB01129	Rabeprazole	A02BD12|A02BD13|A02BC54|M01AA05|A02BC04|M02AA03
DB01130	Prednicarbate	D07AC18
DB01131	Proguanil	P01BB01|P01BB51
DB01132	Pioglitazone	A10BD09|A10BG03|A10BD05|A10BD06|A10BD12
DB01133	Tiludronic acid	M05BA05
DB01135	Doxacurium	M03AC07
DB01136	Carvedilol	C07AG02|C07FX06
DB01137	Levofloxacin	J01MA12|A02BD10|J01RA05|S01AE05
DB01138	Sulfinpyrazone	M04AB02
DB01139	Cefapirin	J01DB08
DB01140	Cefadroxil	J01DB05
DB01141	Micafungin	J02AX05
DB01142	Doxepin	N06AA12|D04AX01
DB01143	Amifostine	V03AF05
DB01144	Diclofenamide	G01AE10|S01EC02
DB01145	Sulfoxone	J04BA03
DB01146	Diphenylpyraline	R06AA57|R06AA07
DB01147	Cloxacillin	J01CR50|J01CF02
DB01148	Flavoxate	G04BD02
DB01149	Nefazodone	N06AX06
DB01150	Cefprozil	J01DC10
DB01151	Desipramine	N06AA01
DB01152	Candicidin	G01AA04
DB01153	Sertaconazole	G01AF19|G01AF20|D01AC14
DB01154	Thiamylal	N05CB01
DB01155	Gemifloxacin	J01MA15
DB01156	Bupropion	A08AA62|N06AX12
DB01157	Trimetrexate	P01AX07
DB01158	Bretylium	C01BD02
DB01159	Halothane	N01AB01
DB01161	Chloroprocaine	N01BA04
DB01162	Terazosin	G04CA03
DB01163	Amdinocillin	J01CA11
DB01164	Calcium chloride	A12AA07|A11GB01|G04BA03|B05XA07
DB01165	Ofloxacin	J01MA01|J01RA09|S01AE01|S02AA16
DB01166	Cilostazol	B01AC23
DB01167	Itraconazole	J02AC02
DB01168	Procarbazine	L01XB01
DB01169	Arsenic trioxide	L01XX27
DB01170	Guanethidine	S01EX01|C02CC02|C02LF01
DB01171	Moclobemide	N06AG02
DB01172	Kanamycin	S01AA24|J01GB04|A07AA08
DB01173	Orphenadrine	M03BC51|N04AB02|M03BC01
DB01174	Phenobarbital	N05CB01|N03AA02
DB01175	Escitalopram	N06AB10
DB01176	Cyclizine	R06AE03|R06AE53
DB01177	Idarubicin	L01DB06
DB01178	Chlormezanone	M03BB02|M03BB72|M03BB52
DB01179	Podofilox	D06BB04
DB01180	Rescinnamine	C02LA52|C02LA02|C02AA01
DB01181	Ifosfamide	L01AA06
DB01182	Propafenone	C01BC03
DB01183	Naloxone	A06AH04|N02AA53|V03AB15|N02AA55
DB01184	Domperidone	A03FA03
DB01185	Fluoxymesterone	G03BA01
DB01186	Pergolide	N04BC02
DB01187	Iophendylate	V08AD04
DB01188	Ciclopirox	D01AE14|G01AX12
DB01189	Desflurane	N01AB07
DB01190	Clindamycin	D10AF01|J01FF01|D10AF51|G01AA10
DB01191	Dexfenfluramine	A08AA04
DB01193	Acebutolol	C07AB04|C07BB04
DB01194	Brinzolamide	S01EC54|S01EC04|G01AE10
DB01195	Flecainide	C01BC04
DB01196	Estramustine	L01XX11
DB01197	Captopril	C09AA01|C09BA01
DB01198	Zopiclone	N05CF01
DB01199	Tubocurarine	M03AA02
DB01200	Bromocriptine	N04BC01|G02CB01
DB01201	Rifapentine	J04AB05
DB01202	Levetiracetam	N03AX14
DB01203	Nadolol	C07BA12|C07AA12
DB01204	Mitoxantrone	L01DB07
DB01205	Flumazenil	V03AB25
DB01206	Lomustine	L01AD02
DB01208	Sparfloxacin	J01MA09
DB01209	Dezocine	N02AX03
DB01210	Levobunolol	S01ED03
DB01211	Clarithromycin	A02BD12|A02BD14|A02BD07|A02BD04|A02BD09|A02BD05|J01FA09|A02BD06|A02BD11
DB01212	Ceftriaxone	J01DD04|J01DD54
DB01213	Fomepizole	V03AB34
DB01214	Metipranolol	S01ED54|C07BA68|S01ED04
DB01215	Estazolam	N05CD04
DB01216	Finasteride	D11AX10|G04CA51|G04CB01
DB01217	Anastrozole	L02BG03
DB01218	Halofantrine	P01BX01
DB01219	Dantrolene	M03CA01
DB01220	Rifaximin	A07AA11|D06AX11
DB01221	Ketamine	N01AX03
DB01222	Budesonide	R03AL11|D07AC09|R01AD05|R03AK07|A07EA06|R03BA02|R03AK12
DB01223	Aminophylline	R03DA55|R03DA05|R03DA20|R03DB05
DB01224	Quetiapine	N05AH04
DB01225	Enoxaparin	B01AB05
DB01226	Mivacurium	M03AC10
DB01227	Levacetylmethadol	N07BC03
DB01228	Encainide	C01BC08
DB01229	Paclitaxel	L01CD01
DB01230	Pemoline	N06BA05
DB01232	Saquinavir	J05AE01
DB01233	Metoclopramide	A03FA01
DB01234	Dexamethasone	R01AD53|D07XB05|R01AD03|D10AA03|S01CB01|S02CA06|S03CA01|C05AA09|S01CA01|D07CB04|H02AB02|S01BA01|A01AC02|S03BA01|D07AB19|S02BA06
DB01235	Levodopa	N04BA03|N04BA01|N04BA02
DB01236	Sevoflurane	N01AB08
DB01237	Bromodiphenhydramine	R06AA01
DB01238	Aripiprazole	N05AX12
DB01239	Chlorprothixene	N05AF03
DB01240	Epoprostenol	B01AC09
DB01241	Gemfibrozil	C10AB04
