chemical_cid,uniport_accession,score
246,Q9NA26,0.528
409,Q93315,0.528
7345,Q9TXR4,0.528
5280,Q9N2Z7,0.528
5100,Q19825,0.528
8730,Q17790,0.528
11105,Q21554,0.528
6331,P10984,0.528
2857,P16356,0.528
6741,Q9NGT3,0.528
6990,P18334,0.528
3973,O17589,0.528
3293,Q9U357,0.528
3973,O44549,0.528
3121,Q18688,0.528
5537,P49595,0.528
5614,P91910,0.528
7700,Q09660,0.528
9223,O76371,0.528
1935,Q9NAF2,0.528
9223,Q9U3K2,0.528
9395,P34512,0.528
1641,P52275,0.528
1641,O17921,0.528
5993,Q23280,0.528
1522,Q0G819,0.528
9015,G5EE14,0.528
5978,Q10664,0.528
441,G5EFM9,0.528
904,G5ECY6,0.528
4332,G5EGM3,0.528
4696,P50306,0.528
4696,Q27522,0.528
3499,P56570,0.528
1684,Q22230,0.528
2051,P34638,0.528
2141,Q9U2M4,0.528
15522,Q5WRS4,0.528
11279,O76360,0.528
1242,O62146,0.528
6279,O44183,0.528
7922,Q9XUP3,0.528
5745,P34439,0.528
2750,O17586,0.528
9261,Q09527,0.528
4665,P52709,0.528
9250,O62336,0.528
6347,P12845,0.528
6347,P91020,0.528
8505,P52275,0.528
6347,P41937,0.528
8505,O17921,0.528
7104,Q17880,0.528
3589,Q9N4A5,0.528
5943,P14585,0.528
2988,P34630,0.528
10663,P53014,0.528
3172,Q8I4G4,0.528
2912,Q20845,0.528
2750,Q17361,0.528
2750,H2KZK7,0.528
2337,G5ED44,0.528
8007,Q95Y73,0.528
5707,O16521,0.528
1182,Q19086,0.528
5022,Q95Q34,0.528
5898,O61790,0.528
3746,P34697,0.528
4184,O17789,0.528
2094,O45246,0.528
6319,Q9U2K8,0.528
8686,Q22918,0.528
7221,O45012,0.528
5231,Q23457,0.528
5430,O17731,0.528
6272,Q93615,0.528
3516,Q7Z137,0.528
6112,O44750,0.528
7108,P98080,0.528
8582,G5EG04,0.528
2876,Q23500,0.528
2010,Q0MQ68,0.528
3136,G5EDN1,0.528
6946,O02642,0.528
2821,G5ECE8,0.528
1489,Q05062,0.528
3291,Q9BKU3,0.528
9153,P91134,0.528
4912,Q95Q25,0.528
11313,Q9N2Z7,0.528
4713,Q58A98,0.528
11313,P56570,0.528
109,Q9U2Q8,0.528
5772,Q18493,0.528
3715,O17789,0.528
4006,Q18885,0.528
4926,Q18680,0.528
2662,O01602,0.528
22316,P52009,0.528
787,O45904,0.528
144,Q94125,0.528
3344,P34255,0.528
5943,Q9BKS0,0.528
3547,O01969,0.528
4199,O01804,0.528
11305,Q19626,0.528
4610,G5EGA7,0.528
4610,P12845,0.528
9253,Q21697,0.528
71,O44750,0.528
4113,Q93167,0.528
6618,H2KYJ6,0.528
11151,Q18026,0.528
2475,P34690,0.528
2475,G5EDD4,0.528
8033,O76618,0.528
4133,Q02332,0.528
2265,Q9N4A5,0.528
5430,B5BM27,0.528
2214,Q9XXH0,0.528
10402,Q27483,0.528
3338,Q09995,0.528
1150,G5ECN1,0.528
6623,Q22782,0.528
6623,G5EBY3,0.528
2146,Q18645,0.528
6245,Q20049,0.528
5437,Q21501,0.528
7833,Q10578,0.528
8505,Q17525,0.528
5437,Q9N2L7,0.528
2329,Q9U2Q9,0.528
3514,Q9U2K8,0.528
2030,Q09253,0.528
5978,Q9XVE5,0.528
8955,Q965V4,0.528
2178,Q21824,0.528
1216,Q9XXI9,0.528
8563,Q9XTX2,0.528
7219,Q18596,0.528
364,Q22620,0.528
7852,Q17796,0.528
47,Q22053,0.528
2435,Q20507,0.528
2895,Q8T8B9,0.528
3547,Q9N5E4,0.528
8946,Q8WQ99,0.528
9318,Q18990,0.528
9290,P91266,0.528
3702,Q17571,0.528
5083,Q9BIG5,0.528
22,O76618,0.528
6854,Q4A1S8,0.528
5083,Q8WQ99,0.528
10230,Q9XTI0,0.528
5430,P34559,0.528
4236,Q20220,0.528
10701,G5ED87,0.528
18344,B7WN66,0.528
6696,C0VXV5,0.528
3559,Q9XUJ7,0.528
1219,P51875,0.528
3965,Q20390,0.528
2881,Q965S0,0.528
7485,P39745,0.528
2300,P52709,0.528
2881,Q95Q25,0.528
5087,Q10654,0.528
9033,Q27492,0.528
8196,P90829,0.528
9001,Q19328,0.528
7045,Q9N4K2,0.528
957,P45971,0.528
4696,Q21284,0.528
6129,Q2L6Y6,0.528
4156,Q17800,0.528
4156,P46769,0.528
3971,O61955,0.528
2230,Q19749,0.528
3136,Q02332,0.528
7813,A3QMC8,0.528
3686,G5EC10,0.528
241,G5EFF7,0.528
2753,Q9GYI4,0.528
1641,Q8I0P7,0.528
5987,P30636,0.528
4098,O01426,0.528
4004,Q9N426,0.528
6812,Q18758,0.528
904,Q9N4K2,0.528
1175,P34690,0.528
3689,P46549,0.528
6652,G5EGT7,0.528
7416,P10986,0.528
7416,P10984,0.528
7416,G5EFM9,0.528
3194,Q9XXC0,0.528
6658,Q21322,0.528
233,Q9XWH0,0.528
181,O17903,0.528
4913,O45815,0.528
9357,O61710,0.528
6410,O18178,0.528
5208,Q9U221,0.528
8331,Q17361,0.528
6180,P49405,0.528
9965,Q9U307,0.528
4284,Q93615,0.528
6051,Q93968,0.528
1756,Q9GZH3,0.528
3813,Q9Y041,0.528
7992,Q22856,0.528
1598,O16522,0.527
1598,P48996,0.527
4174,P91430,0.527
2935,O01607,0.527
7406,O45865,0.527
6954,O17245,0.527
454,Q9NHC3,0.527
6716,Q9GYS8,0.527
10466,O02482,0.527
8007,Q18493,0.527
10466,G5ECM4,0.527
7918,G5EDY0,0.527
4330,Q23089,0.527
6367,Q9NAA7,0.527
4330,P34460,0.527
6983,P17330,0.527
12620,P03949,0.527
10469,Q9U2D0,0.527
6983,P17329,0.527
10154,O01583,0.527
1988,P34183,0.527
3515,Q9NAB0,0.527
1988,H2KZL6,0.527
829,Q20303,0.527
6331,Q9XUJ7,0.527
6836,Q9U2Q8,0.527
3961,Q9U299,0.527
2058,Q10943,0.527
9171,Q10457,0.527
993,Q19749,0.527
7416,Q304D8,0.527
26873,Q10002,0.527
1606,Q23126,0.527
2912,Q9BI71,0.527
8038,Q9N5B3,0.527
5711,Q09990,0.527
9256,P34331,0.527
3213,Q9TZH6,0.527
3549,P34460,0.527
9357,Q9XXK1,0.527
10919,Q9N5B3,0.527
8303,P43508,0.527
10740,O76383,0.527
674,Q17345,0.527
7148,Q93714,0.527
5510,Q17607,0.527
5386,Q22942,0.527
5934,Q10663,0.527
5386,P34578,0.527
8094,Q965N3,0.527
291,Q21054,0.527
17957,Q965Q1,0.527
5053,P98080,0.527
11379,Q18040,0.527
3366,Q18237,0.527
3414,Q9TXI4,0.527
544,O17903,0.527
11833,Q17770,0.527
11527,P91134,0.527
7057,Q22922,0.527
671,Q20471,0.527
3213,Q9XXD4,0.527
5568,Q19440,0.527
10281,P34346,0.527
1935,Q23511,0.527
5646,Q22768,0.527
4156,Q22392,0.527
12290,Q21966,0.527
2123,Q20845,0.527
4199,P34429,0.527
6578,P34604,0.527
8063,Q9XXJ0,0.527
4516,Q93650,0.527
10458,Q09591,0.527
4644,G5ECM4,0.527
10438,O18000,0.527
4624,P49595,0.527
5437,Q22352,0.527
149,Q18677,0.527
3686,Q6EZG5,0.527
5147,O45089,0.527
14457,Q7JNG1,0.527
3784,Q966E7,0.527
3784,Q09522,0.527
3784,Q94234,0.527
4828,Q94055,0.527
1018,O18209,0.527
2113,Q21274,0.527
4673,G5ECQ8,0.527
1701,G5EG80,0.527
7051,Q20303,0.527
650,Q22236,0.527
5577,Q19440,0.527
6726,B5BM47,0.527
9001,O01813,0.527
8651,O45552,0.527
2019,Q9TZH6,0.527
2019,P52057,0.527
2019,Q9TXT9,0.527
1388,Q09632,0.527
4607,Q9N456,0.527
8064,Q21565,0.527
4607,Q09353,0.527
5329,Q9U1X0,0.527
2336,Q94230,0.527
6025,O44952,0.527
3017,P34183,0.527
3017,Q09591,0.527
10935,O45666,0.527
244,Q8MQA1,0.527
1079,Q93794,0.527
1079,O02637,0.527
2022,P34712,0.527
3017,P34690,0.527
21704,Q9N2L7,0.527
5337,P32085,0.527
1229,Q22782,0.527
2108,P91276,0.527
3442,Q9N492,0.527
1229,P91857,0.527
2336,Q9XUV0,0.527
2399,Q9U1Q3,0.527
1967,Q23126,0.527
2045,Q20117,0.527
7206,Q18678,0.527
5202,G5EDU7,0.527
5760,Q93341,0.527
1663,P34286,0.527
2030,O17759,0.527
2113,Q23511,0.527
328,H2KYI5,0.527
3467,Q7JKC3,0.527
6197,Q10905,0.527
4644,P34647,0.527
5909,Q9N4J8,0.527
3229,Q20676,0.527
1609,Q27493,0.527
2832,Q23457,0.527
2832,O01598,0.527
10789,Q20845,0.527
11248,P10986,0.527
11248,P10984,0.527
10494,P49405,0.527
8082,Q17592,0.527
855,Q20140,0.527
5901,Q9XTS4,0.527
6035,Q2V4S2,0.527
1405,P34455,0.527
1674,Q17967,0.527
4199,Q9XUG5,0.527
10473,O45148,0.527
2333,P34617,0.527
6050,Q9TXR4,0.527
9212,Q9NA26,0.527
9212,Q03604,0.527
1147,Q22031,0.527
8017,O45430,0.527
8398,G5ED07,0.527
8398,Q18164,0.527
7841,Q9Y194,0.527
9069,Q20875,0.527
5775,Q22236,0.527
5078,G5EE56,0.527
2230,O44413,0.527
896,P90916,0.527
1995,Q17967,0.527
1995,P12845,0.527
7901,P90735,0.527
1995,Q20278,0.527
13350,Q93353,0.527
2832,H2KZ17,0.527
654,Q9XWH0,0.527
6741,G5EDC5,0.527
4386,Q9NHC3,0.527
5081,Q9N587,0.527
2233,Q10651,0.527
22386,Q9NEZ8,0.527
3026,P30635,0.527
1066,O17589,0.527
2163,O17005,0.527
9398,P17329,0.527
3052,G5ECD7,0.527
5708,Q8MXF1,0.527
9398,P17330,0.527
5035,Q19866,0.527
1917,Q21029,0.527
7047,Q9TXI4,0.527
3343,Q21415,0.527
743,Q9NAB4,0.527
2475,Q9BI71,0.527
1688,Q8WQA8,0.527
3467,A1IMB8,0.527
5437,P90735,0.527
10006,Q18511,0.527
9637,G5EBJ7,0.527
6046,G5EBY3,0.527
79,O62250,0.527
6046,Q21752,0.527
612,Q21005,0.527
10006,Q9U2X0,0.527
16623,O02300,0.527
5897,P34722,0.527
5995,P91430,0.527
8784,Q21565,0.527
2349,Q27535,0.527
4910,P52017,0.527
1694,Q03604,0.527
5401,G5EDC5,0.527
1673,Q9U2J5,0.527
2856,Q9XWN7,0.527
1732,O61460,0.527
6836,Q9XUV0,0.527
1328,P92199,0.527
1732,Q22236,0.527
1821,Q95Q25,0.527
3021,Q17474,0.527
4368,Q9BL36,0.527
2247,P14585,0.527
6568,Q9N492,0.527
2544,P30645,0.527
105,Q18426,0.527
4032,O16315,0.527
2898,O16294,0.527
5614,G5EGE3,0.527
3074,Q966E7,0.527
7314,Q9U1W7,0.527
811,Q03577,0.527
5815,Q9GRZ1,0.527
7492,P46562,0.527
2466,P53589,0.527
2229,G5EE47,0.527
4757,G5EBS5,0.527
4757,O45502,0.527
3229,O01804,0.527
4757,Q9N4J8,0.527
8505,Q22307,0.527
2754,Q21966,0.527
6844,Q9BKS0,0.527
2230,P53589,0.527
5727,Q9U2F2,0.527
3431,Q22100,0.527
5815,P52484,0.527
983,Q17556,0.527
8471,O17586,0.527
804,Q9U3L8,0.527
1563,Q20303,0.527
11137,Q17427,0.527
5639,O18650,0.527
1890,O44954,0.527
3026,P91143,0.527
205,Q19311,0.527
3121,Q9XUY2,0.527
6278,Q2L6U6,0.527
4266,P34286,0.527
586,H2KZ17,0.527
6278,Q9U3K2,0.527
6579,Q17557,0.527
3801,Q21918,0.527
9357,Q93315,0.527
5724,Q21752,0.527
8007,O62461,0.527
7085,Q10651,0.527
276,Q10653,0.527
4168,Q86MG7,0.527
7853,Q21742,0.527
10819,G5EDF9,0.527
6468,Q18488,0.527
9257,Q21322,0.527
2910,Q19849,0.527
1982,O01804,0.527
424,G5ECE8,0.527
2580,G5EEG4,0.527
11313,Q95QE8,0.527
6328,Q18587,0.527
5730,P30645,0.527
1084,Q10660,0.527
6817,G5EET2,0.527
1043,O17730,0.527
5022,G5EGH4,0.527
3467,Q21338,0.527
6061,Q94272,0.527
5581,Q21353,0.527
4004,Q9GYF1,0.527
1089,H2KZK7,0.527
398,G5EFG5,0.526
10209,Q10929,0.526
10209,P91428,0.526
279,O17798,0.526
10695,Q9TXY8,0.526
8505,Q18817,0.526
7654,Q21122,0.526
5566,P52274,0.526
7654,Q09530,0.526
370,G5EF77,0.526
5566,P91873,0.526
7654,Q9GR61,0.526
7654,Q8MXI4,0.526
4541,G5ECJ0,0.526
1193,P34652,0.526
2141,Q9NAN1,0.526
2151,Q10651,0.526
2681,C2BR97,0.526
8971,Q93572,0.526
15522,Q9TXR4,0.526
2126,Q0G819,0.526
3616,Q9XXD4,0.526
4778,O45502,0.526
8929,Q18511,0.526
7244,P34345,0.526
2474,Q03563,0.526
4002,P49404,0.526
2890,Q9NA98,0.526
2763,Q9XVJ3,0.526
10338,Q9U6P6,0.526
8289,Q9XTY5,0.526
9250,Q09422,0.526
10281,P38433,0.526
2940,Q86D99,0.526
2419,O18158,0.526
7582,O17850,0.526
2468,Q18678,0.526
7954,Q19626,0.526
6395,O44408,0.526
3019,P52717,0.526
184,Q10657,0.526
1079,Q9GZF3,0.526
4624,P34552,0.526
995,O44985,0.526
179,O01991,0.526
945,O16309,0.526
5125,Q19004,0.526
24261,H2KZ17,0.526
6957,G5EBR7,0.526
2605,P91134,0.526
5961,P41828,0.526
602,Q9U2K8,0.526
2123,G5ED07,0.526
3671,P50880,0.526
7219,O01685,0.526
7439,Q8MYL7,0.526
6950,P12845,0.526
240,Q10654,0.526
7467,P17329,0.526
4495,P34286,0.526
7516,Q9U2F2,0.526
4261,P34346,0.526
86,Q9XVH6,0.526
2973,Q9XU12,0.526
4641,O02286,0.526
2112,O02158,0.526
24850,Q4R128,0.526
6278,P41958,0.526
11790,Q93650,0.526
10255,G5EBZ1,0.526
2910,Q9U295,0.526
11635,Q19311,0.526
4113,Q17339,0.526
2732,O44503,0.526
2912,O18209,0.526
2912,Q21053,0.526
9033,Q0G819,0.526
5781,Q19722,0.526
7475,Q09353,0.526
2912,Q9NA98,0.526
2912,O01598,0.526
9033,O17586,0.526
3715,O17788,0.526
3715,Q21137,0.526
3715,Q22782,0.526
2788,Q93698,0.526
8651,Q8WQL7,0.526
3371,Q9U2U0,0.526
6966,O01969,0.526
2156,P50140,0.526
7897,Q19311,0.526
991,G5EGE3,0.526
4386,Q20680,0.526
3514,Q19358,0.526
8679,Q23457,0.526
3676,Q20414,0.526
4829,P56570,0.526
4553,Q9N3C7,0.526
11197,Q19877,0.526
7485,Q94125,0.526
6331,Q9XWF1,0.526
2965,Q9TYU5,0.526
137,O17271,0.526
6870,Q9UAV5,0.526
1912,Q9XVH6,0.526
4610,Q9BIG5,0.526
4033,Q18801,0.526
5314,Q8WQG9,0.526
3514,A8WFK6,0.526
2144,P34409,0.526
4788,Q95QV8,0.526
172,Q17577,0.526
6853,Q8I111,0.526
6245,Q20375,0.526
4122,Q17525,0.526
10904,Q9U221,0.526
2726,Q20605,0.526
3117,G5EDB6,0.526
6981,Q95XX1,0.526
144,Q9NAH6,0.526
4156,O62332,0.526
11208,Q21080,0.526
1030,Q8IAA9,0.526
4911,Q17850,0.526
1093,Q93338,0.526
945,G5EBZ1,0.526
6696,G5EED8,0.526
6696,Q17745,0.526
4878,G5EG80,0.526
3283,Q18524,0.526
7148,Q18853,0.526
172,Q18347,0.526
6032,Q7JMA9,0.526
727,Q965V4,0.526
7406,O62215,0.526
8193,O76463,0.526
804,G5EDY2,0.526
4705,O17566,0.526
6854,Q19102,0.526
10729,P34497,0.526
12422,Q09591,0.526
5582,Q19825,0.526
4799,G5ECE8,0.526
1099,G5EDF1,0.526
6983,P04970,0.526
22456,Q09253,0.526
3338,Q9U9J8,0.526
2144,Q19243,0.526
3338,P0DM41,0.526
3338,O44156,0.526
8563,G5ECY0,0.526
8563,Q18581,0.526
4650,Q6EZG5,0.526
4650,O44518,0.526
4578,Q9U2F6,0.526
8563,Q18645,0.526
8030,Q09315,0.526
7897,Q21481,0.526
3559,Q93705,0.526
1645,Q19243,0.526
4284,O45502,0.526
5860,Q19440,0.526
2179,Q18411,0.526
8830,Q95PX7,0.526
4284,O16581,0.526
59,G5EC10,0.526
4284,Q03206,0.526
4284,G5EBS5,0.526
6517,Q21752,0.526
4757,G5EC75,0.526
10919,P34183,0.526
3405,O45933,0.526
4054,Q23320,0.526
11203,G5EE80,0.526
6369,P32756,0.526
4839,G5ECB2,0.526
4055,Q93794,0.526
2540,Q8WQC9,0.526
7019,G5ECR8,0.526
12432,Q8I4E2,0.526
8456,G5EBZ1,0.526
7019,B5BM46,0.526
6264,Q20220,0.526
10275,Q9U2Z5,0.526
3380,O45666,0.526
846,Q23670,0.526
4030,P91918,0.526
12585,Q4A1S8,0.526
5601,Q965N4,0.526
2475,O02637,0.526
2940,P34650,0.526
3747,P90922,0.526
2178,P54816,0.526
10740,O45246,0.526
2341,G5EFH4,0.526
3961,H2L055,0.526
15993,Q20303,0.526
3016,Q20636,0.526
2955,O01598,0.526
4096,P54811,0.526
6781,Q9U221,0.526
616,Q9BL07,0.526
2955,Q21917,0.526
5333,Q9XW61,0.526
12290,Q9N492,0.526
8033,G5EBY3,0.526
8003,G5EGE3,0.526
8033,Q22782,0.526
4913,P34331,0.526
4065,O76689,0.526
663,Q9U221,0.526
5242,Q9N4A7,0.526
158,O01804,0.526
205,P51403,0.526
1292,O02655,0.526
9638,Q10457,0.526
1330,O01598,0.526
2485,P27420,0.526
10458,Q21568,0.526
11999,Q23571,0.526
1099,A9Z1L1,0.526
9570,Q23195,0.526
2820,Q09567,0.526
904,Q9NAF2,0.526
11686,Q17427,0.526
2965,Q9GYK4,0.526
1489,Q27488,0.526
1694,O17798,0.526
602,O18696,0.526
8024,Q17607,0.526
18323,P34638,0.526
8934,Q21554,0.526
5541,Q2L6Y6,0.526
8934,O61847,0.526
7012,Q9TXY8,0.526
9154,P04970,0.526
8697,Q22619,0.526
9413,P91918,0.526
71,O62332,0.526
525,G5EG93,0.526
7019,P49595,0.526
11105,Q93650,0.526
1775,Q19826,0.526
4141,P34369,0.526
1494,O62139,0.526
460,Q27492,0.526
3456,Q9BL34,0.526
8515,O01683,0.526
1207,Q09522,0.526
1207,Q94234,0.526
9346,Q17558,0.526
1826,P41848,0.526
2361,Q19311,0.526
2145,Q8WQL7,0.526
4764,P11141,0.526
2119,P91079,0.526
3540,Q9U2G5,0.526
9681,Q17568,0.526
3540,O45087,0.526
3948,O44510,0.526
2526,P32756,0.526
3348,O01969,0.526
133,Q95ZN7,0.526
1973,Q17571,0.526
12008,O02642,0.526
1783,Q4TT88,0.526
5345,Q18217,0.526
10477,Q9U307,0.526
10477,Q20507,0.526
9013,Q20057,0.526
6869,O44156,0.526
17957,Q93592,0.526
5736,Q22317,0.526
3954,O62146,0.526
2331,Q9XVE5,0.526
1057,G5ECD7,0.526
3954,G5EE78,0.526
2019,P90916,0.526
1988,O01312,0.526
1292,O45246,0.526
2585,O17966,0.526
1988,Q20875,0.526
1292,P09446,0.526
1988,Q09440,0.526
7058,Q03604,0.526
1988,Q21323,0.526
2585,P90829,0.526
5901,Q9Y194,0.526
441,H2KZI0,0.526
6901,O45148,0.526
6021,Q20950,0.526
3445,P52015,0.526
2554,A8WFK6,0.526
6691,P16356,0.526
5374,Q19102,0.525
5757,Q19537,0.525
1682,Q9N2V9,0.525
8405,Q27492,0.525
1832,Q9U296,0.525
2763,Q95YF3,0.525
317,P34355,0.525
2365,Q10039,0.525
3961,O44952,0.525
10793,G5EET2,0.525
6196,P90994,0.525
9777,P32756,0.525
5126,O44750,0.525
6243,Q94234,0.525
4368,O01991,0.525
7794,P34286,0.525
16486,Q7JNG1,0.525
485,Q18524,0.525
4461,Q18426,0.525
2259,O16720,0.525
25041,Q23621,0.525
1606,Q9N2Z7,0.525
7067,P31161,0.525
544,Q9XVK5,0.525
6010,Q22100,0.525
5063,Q966W3,0.525
544,Q23544,0.525
787,Q18775,0.525
7083,A1IMB8,0.525
8530,Q8I4D7,0.525
5794,P34385,0.525
6634,O18180,0.525
834,P91428,0.525
1234,Q965S2,0.525
675,Q17361,0.525
1775,Q19683,0.525
5386,P49029,0.525
6035,Q9N2U6,0.525
8813,P28051,0.525
8813,O45011,0.525
476,Q20100,0.525
3540,O44175,0.525
473,Q22137,0.525
5144,Q9BL46,0.525
4829,Q9N3T2,0.525
10638,O16315,0.525
2527,P90735,0.525
2912,Q94234,0.525
2912,Q966E7,0.525
6590,Q8IAA9,0.525
3464,P32756,0.525
876,Q18645,0.525
876,O01498,0.525
4199,G5EE78,0.525
663,B3GWC3,0.525
2044,G5EBJ7,0.525
735,P20792,0.525
6214,G5EC24,0.525
5724,Q18885,0.525
3499,Q965V4,0.525
43,G5EDR3,0.525
1079,P30646,0.525
299,P41932,0.525
7076,P34346,0.525
2533,P52874,0.525
4353,H2KZ19,0.525
9500,Q9N3S8,0.525
9223,G5EGU1,0.525
9223,Q9N2V6,0.525
2019,Q9BL07,0.525
3016,O17395,0.525
4607,Q93244,0.525
8908,P91079,0.525
3016,Q22620,0.525
7253,Q09397,0.525
7148,P34517,0.525
9210,G5EDS8,0.525
4763,P90838,0.525
2329,Q20496,0.525
6780,G5ECI8,0.525
2280,P34690,0.525
6726,Q9NEW6,0.525
4829,Q22752,0.525
3017,O62108,0.525
22266,P32085,0.525
328,Q9N426,0.525
10705,O01541,0.525
6591,O61213,0.525
11587,Q18990,0.525
5011,Q21284,0.525
6944,Q965Y1,0.525
4766,P91424,0.525
7901,P91856,0.525
1673,O45451,0.525
303,Q09522,0.525
5350,G5EFD9,0.525
2541,G5ECH0,0.525
6046,P18334,0.525
5231,C2BR97,0.525
5208,Q86MG7,0.525
1839,Q95QL2,0.525
1646,Q9TZC4,0.525
904,Q9BI71,0.525
10195,Q21774,0.525
10195,Q18026,0.525
7099,P42168,0.525
3858,P91143,0.525
2030,Q20875,0.525
7922,O17761,0.525
11126,Q93703,0.525
3447,Q9U2J6,0.525
663,G5ECQ8,0.525
1752,P18334,0.525
8133,P49583,0.525
2099,Q9N3S7,0.525
896,Q18587,0.525
7749,Q9BKU3,0.525
6742,Q21751,0.525
22206,Q09629,0.525
8016,P91406,0.525
1166,P41931,0.525
4173,Q95008,0.525
1241,P46561,0.525
10663,Q09980,0.525
4757,Q09523,0.525
7347,Q9TXY8,0.525
7027,Q7JMA9,0.525
3467,Q19705,0.525
3194,Q19546,0.525
12068,Q9NF11,0.525
4211,Q21122,0.525
7755,O62139,0.525
2236,Q19130,0.525
8575,Q09543,0.525
8575,Q10944,0.525
3696,Q9GZF3,0.525
940,Q17361,0.525
2912,Q9U1Q3,0.525
4701,O44555,0.525
9554,P46769,0.525
586,G5ECE8,0.525
1645,P34707,0.525
1245,Q10929,0.525
3516,Q20616,0.525
7708,O18000,0.525
5727,O45926,0.525
4184,Q17592,0.525
3333,P17329,0.525
2244,O01763,0.525
2475,Q22236,0.525
8575,O45106,0.525
3043,G5EGH0,0.525
8575,Q21962,0.525
4184,O17599,0.525
5724,P18334,0.525
1136,O17798,0.525
4727,P91918,0.525
7973,P49405,0.525
11321,O02640,0.525
6870,O45012,0.525
4168,P02567,0.525
4677,Q9N3C7,0.525
4168,O01803,0.525
6872,Q93341,0.525
6278,Q22781,0.525
7264,P19826,0.525
6525,Q18496,0.525
7441,B7WNA0,0.525
9889,Q22230,0.525
1752,Q93705,0.525
177,Q0G843,0.525
7503,Q18680,0.525
2746,Q17413,0.525
4778,Q09523,0.525
24325,P46562,0.525
6389,Q17557,0.525
7266,Q03577,0.525
3452,Q19781,0.525
4913,P34512,0.525
8086,O17680,0.525
6050,Q95Y25,0.525
5743,Q9XW87,0.525
1995,P02567,0.525
11641,G5ECB2,0.525
5897,O44985,0.525
9250,Q9U3C8,0.525
4497,O44518,0.525
3516,G5ED07,0.525
8343,G5EFV6,0.525
4696,O17680,0.525
7439,O61235,0.525
7654,O61955,0.525
3671,O01583,0.525
7071,O16991,0.525
6051,Q9XTS4,0.525
3657,O45434,0.525
6899,Q17754,0.525
3657,Q9NAN2,0.525
5437,Q19266,0.525
8723,Q20291,0.525
3828,Q18885,0.525
1003,Q304D8,0.525
5350,O16520,0.525
7264,Q09527,0.525
7085,B5BM27,0.525
6087,Q9U2G5,0.525
3647,H2KYP2,0.525
4004,Q27473,0.525
3672,Q94124,0.525
379,Q965V4,0.525
2160,Q8I0P7,0.525
4650,Q04833,0.525
4501,Q9XU12,0.525
2044,G5EFA2,0.525
469,Q9TYV5,0.525
13792,Q21824,0.525
6742,Q09996,0.525
2783,P04970,0.525
17957,Q19266,0.525
1912,Q93338,0.525
7758,P34690,0.525
189,P29355,0.525
5784,Q22111,0.525
10705,O01498,0.525
7467,P04970,0.525
7467,P17330,0.525
2004,H2KZG4,0.525
1348,Q9XTU9,0.525
7096,G5EFI1,0.525
738,Q21420,0.525
2754,O18037,0.525
6958,G5EBY3,0.525
6616,H2KYJ6,0.525
5779,Q17958,0.525
8946,O01598,0.525
7123,Q95YB2,0.525
2901,O18276,0.525
22316,Q23202,0.525
1089,Q22137,0.525
6029,Q19243,0.525
2967,Q18547,0.525
9221,G5EFF7,0.525
5959,Q9U2G5,0.525
2078,P16356,0.525
4158,Q21285,0.525
6809,Q9U2J6,0.525
6763,O44408,0.525
8331,Q27538,0.525
2764,P52713,0.525
849,Q9NHC3,0.525
1117,Q9TZ69,0.525
5533,Q09537,0.525
3922,O16991,0.525
1732,Q5WRS4,0.525
470,Q18993,0.525
8975,Q19579,0.525
2890,P34647,0.525
2935,Q09533,0.525
499,P50432,0.525
4284,Q23670,0.525
4284,Q94125,0.525
5784,Q09315,0.524
3038,G5EF08,0.524
6113,Q19579,0.524
9824,P34346,0.524
11361,Q19722,0.524
2787,Q23621,0.524
949,Q9BI71,0.524
1995,Q93204,0.524
8964,Q17796,0.524
6537,Q9XVZ6,0.524
3973,O62336,0.524
4330,G5EFI9,0.524
2360,O02621,0.524
187,Q93454,0.524
5152,Q93761,0.524
11230,P34529,0.524
4781,O18037,0.524
10919,Q9UAV5,0.524
10919,G5EDW8,0.524
10919,Q21053,0.524
2229,G5EGM3,0.524
5437,Q95YF3,0.524
2078,Q22795,0.524
2094,P27420,0.524
311,Q8MNY0,0.524
6319,Q9NAF8,0.524
3715,Q93874,0.524
3932,Q23356,0.524
4624,H2KZI0,0.524
4624,O16581,0.524
806,G4SFC3,0.524
4705,Q23320,0.524
547,Q17525,0.524
6811,Q21481,0.524
9756,Q09580,0.524
7280,G5EGH2,0.524
10927,Q9U1Q4,0.524
2585,Q94125,0.524
6205,P91143,0.524
441,Q20616,0.524
3442,O61217,0.524
7542,Q09590,0.524
9625,Q19842,0.524
5995,Q965T2,0.524
388,P50306,0.524
5944,Q22453,0.524
1518,Q9XUN8,0.524
2681,Q9N5B3,0.524
4058,G5ECW7,0.524
6782,Q9XWF2,0.524
26815,Q23270,0.524
6696,Q17474,0.524
7992,Q9N2Z7,0.524
2912,Q9U3K2,0.524
2688,P91988,0.524
6688,Q23639,0.524
2912,Q20100,0.524
2912,Q17361,0.524
479,O16315,0.524
1725,O01583,0.524
2370,P52275,0.524
2370,O17921,0.524
1530,P34652,0.524
6378,Q10578,0.524
2478,P41848,0.524
2478,Q22347,0.524
2935,B1GRK5,0.524
1892,Q960A1,0.524
392,G5EED8,0.524
5312,Q9N4A5,0.524
8033,Q03614,0.524
12297,Q22501,0.524
9732,Q94125,0.524
8033,G5EBV3,0.524
1354,O44549,0.524
2227,G5EC24,0.524
2754,Q9GYK4,0.524
8007,Q95XN1,0.524
